uuid,local_address,local_port,remote_address,remote_port,ip_protocol,file_descriptor,source
b'^\xf3\x81\xed\xf7\x1aAl\xa9J\x0b8-\x00\x82z',::,53522,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'q\x03\xcbI{\x00A\x02\x91\xb7\x03\x82}\xcb\xd6C',::,52308,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xc6\xb3\x18\x93FyJ\x90\x96S\xdf\xe3\xce]l_',128.55.12.55,53429,128.55.12.10,53.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'z\xde~\x92\xcd*Hm\x8f\x08\xe1\xc9\x07\x8e\xe7o',128.55.12.55,59787,128.55.12.10,53.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'S?C\xb7k\xd7B\xf1\x9d\x88X\xaa\x98\x0bP>',::,56473,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'|\xc5\t|\x04tE\xb8\xbf#S\xb3r6`o',::,56682,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'[\xd0\xfc\x86\x01\x1bL\x82\xb83\x90@\x18](\\',fe80::6dec:6bcb:d45b:2b66,56682,ff02::1:3,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'_pB\x1fc\xcdO\xf2\x91\xde\x0c\xf7\xa5\x05\xfeJ',10.0.6.5,56682,224.0.0.252,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'i\xdd\xa3\x92%\xccC\x9c\xa5\x87PFsv\xb6\xf5',::,58730,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xf7\xe4\x8b\x01hsM\x08\xb2\xf3\xda\xa6\x04\xb8&\x92',fe80::c00b:cb4f:febc:829,58730,ff02::1:3,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xac~)9\x12\x0fC\xb2\xbc\x15B\xa1\xba\xb0\x8eF',128.55.12.55,58730,224.0.0.252,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x88e\xfe\xd3\x96\x12F~\x9d_\xf2N\xdc%9\xda',::,56694,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'.\x1731\xc6\xd1H\xe9\xb1d\x7f\x8fUKO\x15',::,56626,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'.\xe9}\xdd\xeabA\xbd\x9e\xf3\n6\xa9\x03`\xa7',fe80::c00b:cb4f:febc:829,49407,ff02::1:3,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
"b'>\xcb\x18""\\\x10Gr\xaee\xc5N>\xa8O\x0b'",128.55.12.55,49407,224.0.0.252,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xc4\xdf\x99X2\x1eL\xcb\xa6\x9e\xd6\x87Z\x10\xa2\x8f',::,63025,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x11Q\x84\x1b\x85\rM5\x9e\x19\xe1\x0e=i\xde\x8a',fe80::6dec:6bcb:d45b:2b66,63025,ff02::1:3,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'Q\x167\xdaXkA\x17\xba\xa4\x1d\xba\x8cNN]',10.0.6.5,63025,224.0.0.252,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
"b""'\xfc\x9dq<\x87H?\x8c\x1ag\x0c/\xafsr""",128.55.12.55,60691,128.55.12.10,53.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'&\x11\xa7Nh\xba@\x18\x80\xb9\xedP\x0e\xf3~\xa9',128.55.12.55,65087,128.55.12.10,53.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'h\xba\x8f\xb0\xc0\x00@\xc2\x8c[\xcej\xaffk8',::,53429,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'Y\xa9\xb8\x04\x98\xf3F\xaa\x87~\xb9\xbf4\xab\\\xb9',::,59787,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'g\x8b\xedy3\xecB\x88\x8fA~-\xbc~]\x02',::,60691,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
"b""\xc7\xa8\x86\x83@\x13B0\x9e\xf1\xe1'&!\xdd\xfe""",::,65087,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'H}\x81^a\xb6KY\xa3\xe5d\r\xb4\n+h',::,55997,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x12k\xdcK\x0f\x90NC\xaa\x99\xc7\xec\xc2\xe7\xaeg',fe80::6dec:6bcb:d45b:2b66,55997,ff02::1:3,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xad\x98\x15\xd8v\xe5N1\x9e\xcb\xb6\xf9j\xc9\x05\x03',10.0.6.5,55997,224.0.0.252,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'w]\xef^T\\M\x0f\xaf\xb2w\xb7k=_\xdf',::,62432,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'6\xf6\x12\x81\x94OH\xab\xaeN\x0e\x80de\xda\xc3',128.55.12.55,62432,128.55.12.10,53.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
"b'""\xbbE\x0f\xb5\xad@\xfa\x82s\x04\th\x12\xb3\x0f'",::,56482,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b')c\xf7:\xf8\xb0M\xb7\xa7:\tc\xb1\x8c`\x92',128.55.12.55,56482,128.55.12.10,53.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'o\xba*\xe2\x83\xd1B?\xb1\xc5p\xb9&\xa4DV',::,57659,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x12e#\x051TG\xdb\xa3\xce\xb3\x9a\x04b\xef\xb3',fe80::6dec:6bcb:d45b:2b66,57659,ff02::1:3,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xf7\xd2\x81e\xb8\x93H\xfa\xba\xde\x8f\r\xe9\xa5\xe7\x87',10.0.6.5,57659,224.0.0.252,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x87\xa04=\x86\x06N\x8d\x8fO\xaf\xcf\x95\x04[\x1c',::,52081,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xd3\xa5R\x8fu6E\xc0\xa4\xfe$\x1b\x1c\xd1E\x1b',fe80::c00b:cb4f:febc:829,52081,ff02::1:3,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xd6\xe3_\xcb\xe8\xdaE\x1e\xb6\xd7\xc1<\xd2L~\xf2',128.55.12.55,52081,224.0.0.252,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'?\x94\x86\t\xa8\xcfK\xfd\xa1\x7f\x97\x16\xc6\x9b\xf2V',ff02::1:3,5355,fe80::b973:cf24:97bb:b6a4,49481.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'>\xa4\xcc\x95\x07\xf5H5\x8f\x9f\x93\x90n\x00\xa95',224.0.0.252,5355,128.55.12.109,49481.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xcd\xf7\x9d\xe1\xb2\x0eJ\x88\x89W\xfc\t\xab\xd8\xae\xd7',ff02::1:3,5355,fe80::b973:cf24:97bb:b6a4,55618.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xa9\x91\x0e\xa9\x04RNd\x9c\xf7(\xf6CBq\x0c',224.0.0.252,5355,128.55.12.109,55618.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'W\x8f\xe2\x9d\x82zLy\x88c&\x03s\xc4\xdap',::,52390,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x10-+K\xd9\xc3L\xc5\xab\x89\xc2hX\xd1\xab\x1e',128.55.12.55,52390,128.55.12.10,53.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xd6\x95\xe0\xc9w\xbfD\xb2\x8d\x97\x92\xe3\xb7\xe4\x93%',::,55362,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
"b'\x8a""\xc4\xa7P7H""\x9c\tX\xb1ra\xf7\xd5'",fe80::6dec:6bcb:d45b:2b66,55362,ff02::1:3,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xfd\xb3\xe9m\x1c B\xe8\x9f>\x81m\x14B\xdd\xfd',10.0.6.5,55362,224.0.0.252,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'T\xea\xf3<M\xf5B\xba\xa6\x9f\xac\xc1\xbb\x81\xb0\xef',::,65389,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'+\xd1{\xb3u\\CO\xac\x11\x00\xe6\x10e\xbf|',fe80::6dec:6bcb:d45b:2b66,65389,ff02::1:3,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'}P\xa3}wLL\x7f\xbe\xbc\x80${\x15\xe36',10.0.6.5,65389,224.0.0.252,5355.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xad\xe0W#\xc4IM\xf9\x91 \xc2\xd7\xcb\x90B\xff',::,50896,,,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xce\xf5\xc9\xbb[YJB\x99$gB\x8a\x07Q\xc9',128.55.12.55,50896,128.55.12.10,53.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'H\x8dx\x88G\x96N\x8d\x97\xa2\xe45\xab\xdcAy',224.0.0.252,5355,128.55.12.56,54136.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'Bi\xf1\xba\x15\xf4I\xfa\x8b\x14;\xcf\x89\xf0I\xde',224.0.0.252,5355,128.55.12.56,65022.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x06\xdfs\xfcMND\xc7\x8a<.\x15\xdb\xdbw9',128.55.12.255,138,128.55.12.76,138.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
"b'\xa8\xd13\xd0\r]E\x0c\xa7V\xee,|\x1a\xed\xb5'",128.55.12.255,138,128.55.12.77,138.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'n[\xd4t\xe6CJ\xc8\xa8\xe4\xdd1>~44',128.55.12.55,56300,128.55.12.10,53.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xf1u@\x0cs\x87C\xc1\xa8T--\xe5\xd8\xa8\xfb',128.55.12.55,51415,128.55.12.10,53.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
"b"">'\r\x9c\xbcrDh\xa7d\x82\xf3\xa1\x8e\xd7\x1d""",128.55.12.55,56362,128.55.12.10,53.0,17,,SOURCE_WINDOWS_FIVEDIRECTIONS
